,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12
Grade 2,0.821656050955414,0.554140127388535,0.07643312101910828,0.36942675159235666,0.01910828025477707,0.36942675159235666,0.0,0.7834394904458599,1.0,0.6942675159235668,0.9235668789808917
Grade 3,0.9551282051282052,0.4423076923076923,0.21794871794871795,0.3141025641025641,0.0,0.30448717948717946,0.03205128205128205,0.7884615384615384,0.75,1.0,0.9230769230769231
Grade 4,0.5432098765432098,0.4506172839506173,0.3065843621399177,0.3045267489711934,0.0,0.28600823045267487,0.29218106995884774,0.5452674897119342,0.7016460905349794,0.831275720164609,1.0
Grade 5,0.8427947598253275,0.8471615720524017,0.519650655021834,0.44541484716157204,0.2183406113537118,0.13537117903930132,0.0,0.7816593886462883,1.0,0.7510917030567685,0.7685589519650655
Grade 6,0.5745614035087719,0.4868421052631579,0.3684210526315789,0.2982456140350877,0.0,0.29385964912280704,0.20175438596491227,0.4824561403508772,0.7587719298245614,0.6754385964912281,1.0
Grade 7,0.9106145251396648,0.8324022346368715,0.5418994413407822,0.45251396648044695,0.061452513966480445,0.17318435754189945,0.0,0.7653631284916201,0.5754189944134078,0.8547486033519553,1.0
Grade 8,0.9919354838709677,1.0,0.9220430107526881,0.8629032258064516,0.7661290322580645,0.782258064516129,0.6586021505376344,0.0,0.053763440860215055,0.06451612903225806,0.1478494623655914
Grade 9,1.0,0.8556701030927835,0.711340206185567,0.5773195876288659,0.3402061855670103,0.16494845360824742,0.0,0.6288659793814433,0.7835051546391752,0.7319587628865979,0.9072164948453608
Grade 10,0.8017241379310345,0.5344827586206896,0.3620689655172414,0.33620689655172414,0.0,0.15517241379310345,0.04310344827586207,0.4224137931034483,0.39655172413793105,0.6637931034482759,1.0
Grade 11,1.0,0.9375,0.8035714285714286,0.45535714285714285,0.05357142857142857,0.24107142857142858,0.0,0.5535714285714286,0.48214285714285715,0.30357142857142855,0.6160714285714286
Grade 12,1.0,0.8191489361702128,0.5851063829787234,0.35106382978723405,0.2765957446808511,0.39361702127659576,0.0,0.3723404255319149,0.4574468085106383,0.39361702127659576,0.3829787234042553
